ApsimVersion = 7.6
Title = Pnew drain
           Date     drainageIH       leaching
     08/03/2009          0.000            0.0
     09/03/2009          0.000            0.0
     10/03/2009          0.000            0.0
     11/03/2009          0.000            0.0
     12/03/2009          0.000            0.0
     13/03/2009          0.000            0.0
     14/03/2009          0.000            0.0
     15/03/2009          0.000            0.0
     16/03/2009          0.000            0.0
     17/03/2009          0.000            0.0
     18/03/2009          0.000            0.0
     19/03/2009          0.000            0.0
     20/03/2009          0.000            0.0
     21/03/2009          0.000            0.0
     22/03/2009          0.000            0.0
     23/03/2009          0.000            0.0
     24/03/2009          0.000            0.0
     25/03/2009          0.833            0.0
     26/03/2009         17.985            0.6
     27/03/2009         25.689            0.9
     28/03/2009         28.550            1.0
     29/03/2009         30.364            1.1
     30/03/2009         31.611            1.1
     31/03/2009         32.731            1.2
     01/04/2009         33.565            1.2
     02/04/2009         34.304            1.2
     03/04/2009         34.825            1.2
     04/04/2009         35.319            1.2
     05/04/2009         35.853            1.3
     06/04/2009         36.360            1.3
     07/04/2009         36.791            1.3
     08/04/2009         37.003            1.3
     09/04/2009         37.247            1.3
     10/04/2009         37.375            1.3
     11/04/2009         37.384            1.3
     12/04/2009         37.445            1.3
     13/04/2009         37.602            1.3
     14/04/2009         37.602            1.3
     15/04/2009         37.602            1.3
     16/04/2009         37.602            1.3
     17/04/2009         37.602            1.3
     18/04/2009         37.602            1.3
     19/04/2009         37.602            1.3
     20/04/2009         37.602            1.3
     21/04/2009         37.602            1.3
     22/04/2009         37.602            1.3
     23/04/2009         37.602            1.3
     24/04/2009         37.602            1.3
     25/04/2009         37.602            1.3
     26/04/2009         37.602            1.3
     27/04/2009         37.602            1.3
     28/04/2009         37.602            1.3
     29/04/2009         37.602            1.3
     30/04/2009         37.602            1.3
     01/05/2009         37.602            1.3
     02/05/2009         37.602            1.3
     03/05/2009         37.602            1.3
     04/05/2009         37.602            1.3
     05/05/2009         37.602            1.3
     06/05/2009         37.602            1.3
     07/05/2009         37.602            1.3
     08/05/2009         37.602            1.3
     09/05/2009         37.602            1.3
     10/05/2009         37.602            1.3
     11/05/2009         37.602            1.3
     12/05/2009         37.602            1.3
     13/05/2009         37.602            1.3
     14/05/2009         37.602            1.3
     15/05/2009         37.602            1.3
     16/05/2009         37.602            1.3
     17/05/2009         37.602            1.3
     18/05/2009         37.602            1.3
     19/05/2009         37.602            1.3
     20/05/2009         37.602            1.3
     21/05/2009         37.602            1.3
     22/05/2009         37.602            1.3
     23/05/2009         37.602            1.3
     24/05/2009         37.602            1.3
     25/05/2009         37.602            1.3
     26/05/2009         37.602            1.3
     27/05/2009         37.602            1.3
     28/05/2009         37.602            1.3
     29/05/2009         37.602            1.3
     30/05/2009         37.602            1.3
     31/05/2009         37.602            1.3
     01/06/2009         37.602            1.3
     02/06/2009         37.602            1.3
     03/06/2009         37.602            1.3
     04/06/2009         37.602            1.3
     05/06/2009         37.602            1.3
     06/06/2009         37.602            1.3
     07/06/2009         37.602            1.3
     08/06/2009         37.602            1.3
     09/06/2009         37.602            1.3
     10/06/2009         37.602            1.3
     11/06/2009         37.602            1.3
     12/06/2009         37.602            1.3
     13/06/2009         37.602            1.3
     14/06/2009         37.602            1.3
     15/06/2009         37.602            1.3
     16/06/2009         37.602            1.3
     17/06/2009         37.602            1.3
     18/06/2009         37.602            1.3
     19/06/2009         37.602            1.3
     20/06/2009         37.602            1.3
     21/06/2009         37.602            1.3
     22/06/2009         37.602            1.3
     23/06/2009         37.602            1.3
     24/06/2009         37.602            1.3
     25/06/2009         37.602            1.3
     26/06/2009         37.602            1.3
     27/06/2009         37.602            1.3
     28/06/2009         37.602            1.3
     29/06/2009         37.602            1.3
     30/06/2009         37.602            1.3
     01/07/2009         37.602            1.3
     02/07/2009         37.602            1.3
     03/07/2009         37.602            1.3
     04/07/2009         37.602            1.3
     05/07/2009         37.602            1.3
     06/07/2009         37.602            1.3
     07/07/2009         37.602            1.3
     08/07/2009         37.602            1.3
     09/07/2009         37.602            1.3
     10/07/2009         37.602            1.3
     11/07/2009         37.602            1.3
     12/07/2009         37.602            1.3
     13/07/2009         37.602            1.3
     14/07/2009         37.602            1.3
     15/07/2009         37.602            1.3
     16/07/2009         37.602            1.3
     17/07/2009         37.602            1.3
     18/07/2009         37.602            1.3
     19/07/2009         37.602            1.3
     20/07/2009         37.602            1.3
     21/07/2009         37.602            1.3
     22/07/2009         37.602            1.3
     23/07/2009         37.602            1.3
     24/07/2009         37.602            1.3
     25/07/2009         37.602            1.3
     26/07/2009         37.602            1.3
     27/07/2009         37.602            1.3
     28/07/2009         37.602            1.3
     29/07/2009         37.602            1.3
     30/07/2009         37.602            1.3
     31/07/2009         37.602            1.3
     01/08/2009         37.602            1.3
     02/08/2009         37.602            1.3
     03/08/2009         37.602            1.3
     04/08/2009         37.602            1.3
     05/08/2009         37.602            1.3
     06/08/2009         37.602            1.3
     07/08/2009         37.602            1.3
     08/08/2009         37.602            1.3
     09/08/2009         37.602            1.3
     10/08/2009         37.602            1.3
     11/08/2009         37.602            1.3
     12/08/2009         37.602            1.3
     13/08/2009         37.602            1.3
     14/08/2009         37.602            1.3
     15/08/2009         37.602            1.3
     16/08/2009         37.602            1.3
     17/08/2009         37.602            1.3
     18/08/2009         37.602            1.3
     19/08/2009         37.602            1.3
     20/08/2009         37.602            1.3
     21/08/2009         37.602            1.3
     22/08/2009         37.602            1.3
     23/08/2009         37.602            1.3
     24/08/2009         37.602            1.3
     25/08/2009         37.602            1.3
     26/08/2009         37.602            1.3
     27/08/2009         37.602            1.3
     28/08/2009         37.602            1.3
     29/08/2009         37.602            1.3
     30/08/2009         37.602            1.3
     31/08/2009         37.602            1.3
     01/09/2009         37.602            1.3
     02/09/2009         37.602            1.3
     03/09/2009         37.602            1.3
     04/09/2009         37.602            1.3
     05/09/2009         37.602            1.3
     06/09/2009         37.602            1.3
     07/09/2009         37.602            1.3
     08/09/2009         37.602            1.3
     09/09/2009         37.602            1.3
     10/09/2009         37.602            1.3
     11/09/2009         37.602            1.3
     12/09/2009         37.602            1.3
     13/09/2009         37.602            1.3
     14/09/2009         37.602            1.3
     15/09/2009         37.602            1.3
     16/09/2009         37.602            1.3
     17/09/2009         37.602            1.3
     18/09/2009         37.602            1.3
     19/09/2009         37.602            1.3
     20/09/2009         37.602            1.3
     21/09/2009         37.602            1.3
     22/09/2009         37.602            1.3
     23/09/2009         37.602            1.3
     24/09/2009         37.602            1.3
     25/09/2009         37.602            1.3
     26/09/2009         37.602            1.3
     27/09/2009         37.602            1.3
     28/09/2009         37.602            1.3
     29/09/2009         37.602            1.3
     30/09/2009         37.602            1.3
     01/10/2009         37.602            1.3
     02/10/2009         37.602            1.3
     03/10/2009         37.602            1.3
     04/10/2009         37.602            1.3
     05/10/2009         37.602            1.3
     06/10/2009         37.602            1.3
     07/10/2009         37.602            1.3
     08/10/2009         37.602            1.3
     09/10/2009         37.602            1.3
     10/10/2009         37.602            1.3
     11/10/2009         37.602            1.3
     12/10/2009         37.602            1.3
     13/10/2009         37.602            1.3
     14/10/2009         37.602            1.3
     15/10/2009         37.602            1.3
     16/10/2009         37.602            1.3
     17/10/2009         37.602            1.3
     18/10/2009         37.602            1.3
     19/10/2009         37.602            1.3
     20/10/2009         37.602            1.3
     21/10/2009         37.602            1.3
     22/10/2009         37.602            1.3
     23/10/2009         37.602            1.3
     24/10/2009         37.602            1.3
     25/10/2009         37.602            1.3
     26/10/2009         37.602            1.3
     27/10/2009         37.602            1.3
     28/10/2009         37.602            1.3
     29/10/2009         37.602            1.3
     30/10/2009         37.602            1.3
     31/10/2009         37.602            1.3
     01/11/2009         37.602            1.3
     02/11/2009         37.602            1.3
     03/11/2009         37.602            1.3
     04/11/2009         37.602            1.3
     05/11/2009         37.602            1.3
     06/11/2009         37.602            1.3
     07/11/2009         37.602            1.3
     08/11/2009         37.602            1.3
     09/11/2009         37.602            1.3
     10/11/2009         37.602            1.3
     11/11/2009         37.602            1.3
     12/11/2009         37.602            1.3
     13/11/2009         37.602            1.3
     14/11/2009         37.602            1.3
     15/11/2009         37.602            1.3
     16/11/2009         37.602            1.3
     17/11/2009         37.602            1.3
     18/11/2009         37.602            1.3
     19/11/2009         37.602            1.3
     20/11/2009         37.602            1.3
     21/11/2009         37.602            1.3
     22/11/2009         37.602            1.3
     23/11/2009         37.602            1.3
     24/11/2009         37.602            1.3
     25/11/2009         37.602            1.3
     26/11/2009         37.602            1.3
     27/11/2009         37.602            1.3
     28/11/2009         37.602            1.3
     29/11/2009         37.602            1.3
     30/11/2009         37.602            1.3
     01/12/2009         37.602            1.3
     02/12/2009         37.602            1.3
     03/12/2009         37.602            1.3
     04/12/2009         37.602            1.3
     05/12/2009         37.602            1.3
     06/12/2009         37.602            1.3
     07/12/2009         37.602            1.3
     08/12/2009         37.602            1.3
     09/12/2009         37.602            1.3
     10/12/2009         37.602            1.3
     11/12/2009         37.602            1.3
     12/12/2009         37.602            1.3
     13/12/2009         37.602            1.3
     14/12/2009         37.602            1.3
     15/12/2009         37.602            1.3
     16/12/2009         37.602            1.3
     17/12/2009         37.602            1.3
     18/12/2009         37.602            1.3
     19/12/2009         37.602            1.3
     20/12/2009         37.602            1.3
     21/12/2009         37.602            1.3
     22/12/2009         37.602            1.3
     23/12/2009         37.602            1.3
     24/12/2009         37.602            1.3
     25/12/2009         37.602            1.3
     26/12/2009         37.602            1.3
     27/12/2009         37.602            1.3
     28/12/2009         37.602            1.3
     29/12/2009         37.602            1.3
     30/12/2009         37.602            1.3
     31/12/2009         37.602            1.3
     01/01/2010          0.000            0.0
     02/01/2010          0.000            0.0
     03/01/2010          0.000            0.0
     04/01/2010          0.000            0.0
     05/01/2010          0.000            0.0
     06/01/2010          0.000            0.0
     07/01/2010          0.000            0.0
     08/01/2010          0.000            0.0
     09/01/2010          0.000            0.0
     10/01/2010          0.000            0.0
     11/01/2010          0.000            0.0
     12/01/2010          0.000            0.0
     13/01/2010          0.000            0.0
     14/01/2010          0.000            0.0
     15/01/2010          0.000            0.0
     16/01/2010          0.000            0.0
     17/01/2010          0.000            0.0
     18/01/2010          0.000            0.0
     19/01/2010          0.000            0.0
     20/01/2010          0.000            0.0
     21/01/2010          0.000            0.0
     22/01/2010          0.000            0.0
     23/01/2010          0.000            0.0
     24/01/2010          0.000            0.0
     25/01/2010          0.000            0.0
     26/01/2010          0.000            0.0
     27/01/2010          0.000            0.0
     28/01/2010          0.000            0.0
     29/01/2010          0.000            0.0
     30/01/2010          0.000            0.0
     31/01/2010          0.000            0.0
     01/02/2010          0.000            0.0
     02/02/2010          0.000            0.0
     03/02/2010          0.000            0.0
     04/02/2010          0.000            0.0
     05/02/2010          0.000            0.0
     06/02/2010          0.000            0.0
     07/02/2010          0.000            0.0
     08/02/2010          0.000            0.0
     09/02/2010          0.000            0.0
     10/02/2010          0.000            0.0
     11/02/2010          0.000            0.0
     12/02/2010          0.000            0.0
     13/02/2010          0.000            0.0
     14/02/2010          0.000            0.0
     15/02/2010          0.000            0.0
     16/02/2010          0.000            0.0
     17/02/2010          0.000            0.0
     18/02/2010          0.000            0.0
     19/02/2010          0.000            0.0
     20/02/2010          0.000            0.0
     21/02/2010          0.000            0.0
     22/02/2010          0.000            0.0
     23/02/2010          0.000            0.0
     24/02/2010          0.000            0.0
     25/02/2010          0.000            0.0
     26/02/2010          0.000            0.0
     27/02/2010          0.000            0.0
     28/02/2010          0.000            0.0
     01/03/2010          0.000            0.0
     02/03/2010          0.000            0.0
     03/03/2010          0.000            0.0
     04/03/2010          0.000            0.0
     05/03/2010          0.000            0.0
     06/03/2010          0.000            0.0
     07/03/2010          0.000            0.0
     08/03/2010          0.000            0.0
     09/03/2010          0.000            0.0
     10/03/2010          0.000            0.0
     11/03/2010          0.000            0.0
     12/03/2010          0.000            0.0
     13/03/2010          0.000            0.0
     14/03/2010          0.000            0.0
     15/03/2010          0.000            0.0
     16/03/2010          0.000            0.0
     17/03/2010          0.000            0.0
     18/03/2010          0.000            0.0
     19/03/2010          0.000            0.0
     20/03/2010          0.000            0.0
     21/03/2010          0.000            0.0
     22/03/2010          0.000            0.0
     23/03/2010          0.000            0.0
     24/03/2010          0.000            0.0
     25/03/2010          0.000            0.0
     26/03/2010          0.000            0.0
     27/03/2010          0.000            0.0
     28/03/2010          0.000            0.0
     29/03/2010          0.000            0.0
     30/03/2010          0.000            0.0
     31/03/2010          0.000            0.0
     01/04/2010          0.000            0.0
     02/04/2010          0.000            0.0
     03/04/2010          0.000            0.0
     04/04/2010          0.000            0.0
     05/04/2010          0.000            0.0
     06/04/2010          0.000            0.0
     07/04/2010          0.000            0.0
     08/04/2010          0.000            0.0
     09/04/2010          0.000            0.0
     10/04/2010          0.000            0.0
     11/04/2010          0.000            0.0
     12/04/2010          0.000            0.0
     13/04/2010          0.000            0.0
     14/04/2010          0.000            0.0
     15/04/2010          0.000            0.0
     16/04/2010          0.000            0.0
     17/04/2010          0.000            0.0
     18/04/2010          0.000            0.0
     19/04/2010          0.000            0.0
     20/04/2010          0.000            0.0
     21/04/2010          0.000            0.0
     22/04/2010          0.000            0.0
     23/04/2010          0.000            0.0
     24/04/2010          0.000            0.0
     25/04/2010          0.000            0.0
     26/04/2010          0.000            0.0
     27/04/2010          0.000            0.0
     28/04/2010          0.000            0.0
     29/04/2010          0.000            0.0
     30/04/2010          0.000            0.0
     01/05/2010          0.000            0.0
     02/05/2010          0.000            0.0
     03/05/2010          0.000            0.0
     04/05/2010          0.000            0.0
     05/05/2010          0.000            0.0
     06/05/2010          0.000            0.0
     07/05/2010          0.000            0.0
     08/05/2010          0.000            0.0
     09/05/2010          0.000            0.0
     10/05/2010          0.000            0.0
     11/05/2010          0.000            0.0
     12/05/2010          0.000            0.0
     13/05/2010          0.000            0.0
     14/05/2010          1.066            0.1
     15/05/2010         21.689            1.5
     16/05/2010         30.921            2.1
     17/05/2010         34.260            2.4
     18/05/2010         36.015            2.5
     19/05/2010         36.852            2.6
     20/05/2010         37.222            2.6
     21/05/2010         37.707            2.7
     22/05/2010         38.001            2.7
     23/05/2010         38.001            2.7
     24/05/2010         38.001            2.7
     25/05/2010         38.001            2.7
     26/05/2010         38.001            2.7
     27/05/2010         38.001            2.7
     28/05/2010         38.001            2.7
     29/05/2010         38.001            2.7
     30/05/2010         38.001            2.7
     31/05/2010         38.001            2.7
     01/06/2010         38.001            2.7
     02/06/2010         38.001            2.7
     03/06/2010         38.001            2.7
     04/06/2010         38.001            2.7
     05/06/2010         38.001            2.7
     06/06/2010         38.001            2.7
     07/06/2010         38.001            2.7
     08/06/2010         38.001            2.7
     09/06/2010         38.001            2.7
     10/06/2010         38.001            2.7
     11/06/2010         38.001            2.7
     12/06/2010         38.001            2.7
     13/06/2010         38.001            2.7
     14/06/2010         38.001            2.7
     15/06/2010         53.681            3.1
     16/06/2010         66.006            3.4
     17/06/2010         69.689            3.5
     18/06/2010         71.008            3.5
     19/06/2010         71.758            3.5
     20/06/2010         71.821            3.5
     21/06/2010         72.166            3.5
     22/06/2010         72.179            3.5
     23/06/2010         72.179            3.5
     24/06/2010         72.179            3.5
     25/06/2010         72.179            3.5
     26/06/2010         72.179            3.5
     27/06/2010         72.179            3.5
     28/06/2010         74.970            3.5
     29/06/2010        102.502            3.5
     30/06/2010        114.497            3.5
     01/07/2010        117.329            3.5
     02/07/2010        117.718            3.5
     03/07/2010        117.718            3.5
     04/07/2010        117.718            3.5
     05/07/2010        117.718            3.5
     06/07/2010        117.718            3.5
     07/07/2010        117.718            3.5
     08/07/2010        117.718            3.5
     09/07/2010        117.718            3.5
     10/07/2010        117.718            3.5
     11/07/2010        117.718            3.5
     12/07/2010        117.718            3.5
     13/07/2010        117.718            3.5
     14/07/2010        117.718            3.5
     15/07/2010        117.718            3.5
     16/07/2010        117.718            3.5
     17/07/2010        117.718            3.5
     18/07/2010        117.718            3.5
     19/07/2010        117.718            3.5
     20/07/2010        117.718            3.5
     21/07/2010        117.718            3.5
     22/07/2010        117.718            3.5
     23/07/2010        117.718            3.5
     24/07/2010        117.718            3.5
     25/07/2010        117.718            3.5
     26/07/2010        117.718            3.5
     27/07/2010        117.718            3.5
     28/07/2010        117.718            3.5
     29/07/2010        117.718            3.5
     30/07/2010        117.718            3.5
     31/07/2010        117.718            3.5
     01/08/2010        117.718            3.5
     02/08/2010        117.718            3.5
     03/08/2010        117.718            3.5
     04/08/2010        117.718            3.5
     05/08/2010        117.718            3.5
     06/08/2010        117.718            3.5
     07/08/2010        117.718            3.5
     08/08/2010        117.718            3.5
     09/08/2010        130.997            3.5
     10/08/2010        166.223            3.5
     11/08/2010        215.814            3.5
     12/08/2010        255.751            3.5
     13/08/2010        269.315            3.5
     14/08/2010        271.974            3.5
     15/08/2010        272.572            3.5
     16/08/2010        272.572            3.5
     17/08/2010        272.572            3.5
     18/08/2010        272.572            3.5
     19/08/2010        272.572            3.5
     20/08/2010        272.572            3.5
     21/08/2010        272.572            3.5
     22/08/2010        272.572            3.5
     23/08/2010        272.572            3.5
     24/08/2010        272.572            3.5
     25/08/2010        272.572            3.5
     26/08/2010        272.572            3.5
     27/08/2010        272.572            3.5
     28/08/2010        272.572            3.5
     29/08/2010        272.572            3.5
     30/08/2010        272.572            3.5
     31/08/2010        272.572            3.5
     01/09/2010        272.572            3.5
     02/09/2010        272.572            3.5
     03/09/2010        282.248            3.5
     04/09/2010        288.123            3.5
     05/09/2010        290.090            3.5
     06/09/2010        290.919            3.5
     07/09/2010        291.264            3.5
     08/09/2010        291.264            3.5
     09/09/2010        291.264            3.5
     10/09/2010        291.264            3.5
     11/09/2010        291.264            3.5
     12/09/2010        291.264            3.5
     13/09/2010        291.264            3.5
     14/09/2010        291.264            3.5
     15/09/2010        291.264            3.5
     16/09/2010        291.264            3.5
     17/09/2010        291.264            3.5
     18/09/2010        291.264            3.5
     19/09/2010        291.264            3.5
     20/09/2010        291.264            3.5
     21/09/2010        291.264            3.5
     22/09/2010        291.264            3.5
     23/09/2010        291.264            3.5
     24/09/2010        291.264            3.5
     25/09/2010        305.078            3.5
     26/09/2010        320.404            3.5
     27/09/2010        329.449            3.5
     28/09/2010        333.966            3.5
     29/09/2010        336.369            3.5
     30/09/2010        337.372            3.5
     01/10/2010        337.727            3.5
     02/10/2010        337.727            3.5
     03/10/2010        337.727            3.5
     04/10/2010        337.727            3.5
     05/10/2010        337.727            3.5
     06/10/2010        337.727            3.5
     07/10/2010        337.727            3.5
     08/10/2010        337.727            3.5
     09/10/2010        337.727            3.5
     10/10/2010        337.727            3.5
     11/10/2010        337.727            3.5
     12/10/2010        337.727            3.5
     13/10/2010        337.727            3.5
     14/10/2010        337.727            3.5
     15/10/2010        337.727            3.5
     16/10/2010        337.727            3.5
     17/10/2010        337.727            3.5
     18/10/2010        337.727            3.5
     19/10/2010        337.727            3.5
